t (s),V (mV)
0,14.1075
0.974,14.0788
1.947,14.0549
2.923,14.0315
3.922,14.0001
4.923,13.975
5.923,13.9465
6.923,13.9194
7.923,13.892
8.923,13.8642
9.922,13.837
10.922,13.8102
11.923,13.7838
12.922,13.7552
13.922,13.7279
14.922,13.7014
15.923,13.6738
16.923,13.6463
17.923,13.6199
18.922,13.5924
19.923,13.566
20.923,13.5392
21.923,13.5123
22.922,13.4858
23.922,13.4596
24.922,13.4337
25.923,13.406
26.923,13.3803
27.923,13.3541
28.923,13.3274
29.922,13.3021
30.922,13.2765
31.923,13.2505
32.922,13.2252
33.923,13.2003
34.923,13.1741
35.923,13.1485
36.923,13.1225
37.923,13.0983
38.923,13.0714
39.923,13.0466
40.923,13.0209
41.922,12.9961
42.923,12.9698
43.922,12.9449
44.922,12.9198
45.922,12.8945
46.923,12.8696
47.923,12.8449
48.923,12.8196
49.922,12.7961
50.922,12.7711
51.922,12.7475
52.923,12.7222
53.922,12.6974
54.923,12.672
55.923,12.6485
56.923,12.6231
57.922,12.5995
58.923,12.5739
59.922,12.5497
60.923,12.524
61.923,12.4997
62.923,12.4759
63.923,12.4492
64.922,12.4266
65.923,12.4027
66.923,12.3789
67.923,12.3555
68.922,12.3314
69.923,12.308
70.922,12.2843
71.923,12.2606
72.923,12.2368
73.923,12.2136
74.923,12.1898
75.922,12.1656
76.923,12.1426
77.923,12.1187
78.922,12.0956
79.923,12.0712
80.923,12.0485
81.922,12.024
82.922,12.0002
83.922,11.9775
84.924,11.9549
85.923,11.9315
86.923,11.9083
87.923,11.8853
88.922,11.8625
89.923,11.8398
90.923,11.8173
91.923,11.7946
92.923,11.7728
93.923,11.7499
94.923,11.7278
95.923,11.7055
96.922,11.6824
97.923,11.6606
98.922,11.6379
99.922,11.6157
100.923,11.5929
101.923,11.5714
102.922,11.5494
103.923,11.5269
104.922,11.5047
105.923,11.4823
106.922,11.4603
107.923,11.4378
108.923,11.4162
109.922,11.3941
110.923,11.3721
111.922,11.3507
112.923,11.3292
113.922,11.3062
114.923,11.2857
115.923,11.2629
116.922,11.2412
117.923,11.2199
118.923,11.1981
119.922,11.1763
120.923,11.1556
121.922,11.1341
122.923,11.1131
123.923,11.0916
124.922,11.0707
125.923,11.0494
126.923,11.0274
127.922,11.0067
128.923,10.9852
129.923,10.9647
130.923,10.9438
131.922,10.923
132.923,10.9016
133.922,10.8804
134.923,10.8589
135.923,10.8391
136.922,10.8175
137.923,10.7968
138.922,10.7755
139.923,10.7558
140.923,10.7353
141.922,10.7154
142.923,10.6951
143.923,10.6743
144.922,10.655
145.923,10.6353
146.923,10.6143
147.922,10.595
148.922,10.5744
149.921,10.5542
150.922,10.5345
151.922,10.5132
152.922,10.4941
153.921,10.4739
154.921,10.4529
155.922,10.4333
156.922,10.4143
157.922,10.394
158.922,10.3737
159.921,10.3542
160.922,10.3348
161.921,10.3147
162.922,10.2963
163.921,10.2763
164.922,10.2574
165.922,10.2372
166.921,10.2175
167.922,10.1988
168.922,10.1794
169.921,10.1603
170.922,10.1412
171.921,10.1217
172.922,10.1024
173.921,10.0839
174.922,10.0652
175.921,10.0463
176.922,10.0273
177.921,10.0093
178.923,9.9907
179.922,9.9712
180.922,9.9516
181.923,9.934
182.923,9.9151
183.923,9.8963
184.923,9.8776
185.923,9.8596
186.923,9.8408
187.922,9.822
188.923,9.8037
189.923,9.7854
190.923,9.767
191.923,9.7493
192.923,9.7311
193.923,9.7118
194.922,9.6956
195.923,9.6748
196.923,9.6596
197.923,9.6394
198.923,9.6217
199.923,9.6041
200.923,9.5855
201.923,9.5674
202.923,9.5464
203.923,9.5301
204.923,9.5129
205.923,9.4953
206.923,9.4778
207.923,9.4598
208.923,9.4412
209.923,9.4238
210.923,9.4062
211.923,9.3882
212.922,9.3705
213.923,9.3538
214.923,9.335
215.923,9.3174
216.923,9.2993
217.923,9.2832
218.923,9.266
219.923,9.2475
220.922,9.2304
221.923,9.2134
222.922,9.1958
223.923,9.179
224.922,9.1615
225.923,9.1468
226.923,9.1273
227.923,9.1099
228.923,9.0947
229.923,9.0764
230.922,9.0604
231.923,9.0431
232.922,9.0259
233.923,9.0095
234.922,8.9922
235.923,8.974
236.923,8.9598
237.923,8.9423
238.923,8.9258
239.923,8.91
240.923,8.8927
241.922,8.8761
242.923,8.8602
243.923,8.8447
244.924,8.8292
245.922,8.8121
246.923,8.7968
247.923,8.7804
248.923,8.7645
249.923,8.748
250.923,8.7318
251.923,8.7126
252.923,8.6995
253.923,8.6779
254.922,8.67
255.923,8.6543
256.923,8.6381
257.923,8.6216
258.922,8.6063
259.923,8.5907
260.923,8.5744
261.923,8.5591
262.923,8.5433
263.922,8.5277
264.923,8.5106
265.923,8.495
266.923,8.4788
267.923,8.4624
268.923,8.4474
269.922,8.432
270.923,8.4157
271.923,8.3998
272.923,8.3845
273.922,8.3693
274.923,8.3528
275.923,8.3385
276.923,8.3233
277.923,8.3081
278.922,8.2938
279.923,8.2772
280.923,8.2626
281.923,8.2472
282.923,8.2312
283.923,8.2164
284.922,8.2012
285.923,8.1863
286.923,8.1712
287.923,8.1561
288.923,8.1403
289.923,8.1259
290.922,8.1115
291.923,8.0965
292.923,8.0814
293.923,8.0669
294.923,8.0533
295.923,8.0381
296.923,8.0236
297.923,8.0096
298.923,7.9956
299.923,7.9805
300.922,7.9664
