t (s),V (mV)
0,14.3178
0.974,14.3166
1.912,14.3127
2.89,14.3076
3.89,14.3004
4.891,14.2937
5.89,14.2858
6.891,14.2789
7.89,14.2729
8.89,14.2652
9.891,14.2569
10.89,14.2492
11.89,14.2436
12.891,14.2344
13.89,14.2264
14.891,14.2195
15.89,14.2124
16.89,14.204
17.89,14.1966
18.891,14.1907
19.89,14.1806
20.89,14.1734
21.891,14.1661
22.89,14.1572
23.89,14.1495
24.891,14.1422
25.89,14.1336
26.891,14.1253
27.891,14.1186
28.89,14.1106
29.891,14.1033
30.89,14.0948
31.89,14.0874
32.891,14.0794
33.89,14.0711
34.891,14.0637
35.891,14.0551
36.89,14.0472
37.891,14.0401
38.891,14.0313
39.891,14.0234
40.891,14.0159
41.891,14.0077
42.891,14.0004
43.89,13.992
44.891,13.9843
45.89,13.9759
46.891,13.9686
47.89,13.96
48.891,13.9526
49.89,13.9442
50.891,13.9375
51.89,13.9283
52.891,13.9222
53.89,13.9133
54.891,13.9059
55.89,13.8987
56.891,13.8915
57.89,13.8832
58.891,13.8757
59.89,13.8677
60.891,13.8601
61.89,13.8529
62.891,13.8454
63.891,13.837
64.89,13.8289
65.891,13.822
66.891,13.8141
67.891,13.8073
68.89,13.7992
69.891,13.7917
70.89,13.7838
71.891,13.7775
72.89,13.7695
73.891,13.7621
74.89,13.7544
75.89,13.7461
76.891,13.7403
77.89,13.7323
78.891,13.7253
79.89,13.7183
80.891,13.7103
81.89,13.7037
82.891,13.6965
83.89,13.6878
84.891,13.6824
85.89,13.6748
86.891,13.6681
87.89,13.6604
88.891,13.6529
89.891,13.6456
90.891,13.638
91.89,13.6319
92.891,13.6246
93.89,13.6168
94.891,13.6097
95.891,13.6032
96.89,13.5961
97.891,13.5891
98.891,13.5817
99.89,13.573
100.891,13.567
101.891,13.5614
102.89,13.5539
103.891,13.548
104.89,13.5419
105.891,13.5311
106.89,13.5271
107.891,13.5187
108.891,13.5112
109.89,13.5034
110.891,13.4956
111.891,13.4912
112.891,13.4826
113.89,13.4755
114.891,13.4675
115.891,13.4619
116.89,13.4547
117.891,13.4472
118.89,13.4413
119.891,13.434
120.89,13.4268
121.891,13.4196
122.891,13.4116
123.891,13.4051
124.89,13.399
125.891,13.3909
126.891,13.3841
127.89,13.3724
128.891,13.3727
129.89,13.3621
130.891,13.3555
131.89,13.3484
132.89,13.3414
133.891,13.3363
134.89,13.3292
135.891,13.319
136.891,13.3135
137.89,13.3077
138.891,13.2998
139.891,13.2936
140.89,13.2863
141.891,13.2797
142.89,13.2722
143.89,13.2661
144.891,13.2592
145.89,13.2516
146.89,13.2451
147.891,13.238
148.89,13.2313
149.89,13.2249
150.891,13.2176
151.891,13.2115
152.89,13.2045
153.891,13.1981
154.89,13.1917
155.891,13.1841
156.89,13.1775
157.891,13.1702
158.89,13.1649
159.89,13.1583
160.891,13.1513
161.89,13.1446
162.891,13.1375
163.891,13.1307
164.89,13.1238
165.891,13.1175
166.89,13.1111
167.891,13.1046
168.891,13.0971
169.89,13.0921
170.891,13.0841
171.891,13.078
172.89,13.0717
173.891,13.0648
174.89,13.058
175.891,13.05
176.89,13.0441
177.89,13.0375
178.891,13.0309
179.891,13.023
180.89,13.0181
181.891,13.0111
182.891,13.0038
183.89,12.9973
184.89,12.991
185.891,12.9847
186.891,12.9792
187.89,12.9724
188.891,12.9654
189.89,12.9598
190.891,12.9526
191.891,12.9462
192.89,12.9392
193.89,12.9322
194.891,12.9257
195.891,12.9197
196.891,12.9116
197.891,12.9045
198.89,12.8979
199.89,12.891
200.891,12.8849
201.891,12.8779
202.89,12.8708
203.891,12.864
204.891,12.8578
205.89,12.8509
206.891,12.8435
207.891,12.8367
208.891,12.8302
209.891,12.8232
210.89,12.8163
211.89,12.8096
212.891,12.8047
213.891,12.797
214.891,12.7902
215.89,12.7834
216.891,12.7768
217.891,12.7707
218.89,12.766
219.891,12.7585
220.891,12.7522
221.89,12.7465
222.89,12.7405
223.891,12.7356
224.89,12.7301
225.89,12.7233
226.89,12.7159
227.891,12.7094
228.891,12.7029
229.891,12.6964
230.891,12.6902
231.891,12.6846
232.89,12.6781
233.89,12.6711
234.891,12.665
235.891,12.6581
236.89,12.653
237.891,12.6468
238.891,12.6411
239.89,12.6344
240.89,12.6286
241.891,12.622
242.891,12.6156
243.891,12.6084
244.89,12.6024
245.891,12.5965
246.891,12.5897
247.891,12.5822
248.891,12.5757
249.891,12.5688
250.891,12.5623
251.89,12.5561
252.891,12.5492
253.891,12.5429
254.89,12.5369
255.89,12.5303
256.891,12.5241
257.891,12.5173
258.891,12.5107
259.891,12.5045
260.891,12.4974
261.891,12.4907
262.89,12.4841
263.89,12.4773
264.89,12.4718
265.891,12.4666
266.891,12.4589
267.89,12.4545
268.89,12.4485
269.891,12.4436
270.891,12.4377
271.891,12.432
272.89,12.4244
273.89,12.4173
274.89,12.4118
275.89,12.4062
276.891,12.3998
277.891,12.3933
278.891,12.3874
279.891,12.3807
280.891,12.3735
281.891,12.3681
282.891,12.3628
283.89,12.3566
284.89,12.3495
285.891,12.3426
286.891,12.336
287.89,12.3299
288.89,12.3239
289.891,12.3172
290.891,12.3119
291.891,12.3053
292.891,12.2989
293.891,12.2941
294.891,12.2877
295.891,12.2823
296.891,12.2762
297.891,12.2702
298.89,12.264
299.89,12.2589
300.89,12.2523
301.891,12.2462
302.891,12.2407
303.891,12.2344
304.891,12.2279
305.891,12.2224
306.891,12.2161
307.891,12.2101
308.891,12.2031
309.891,12.1977
310.891,12.1903
311.891,12.1852
312.891,12.1792
313.891,12.1727
314.891,12.1671
315.891,12.1609
316.891,12.1546
317.891,12.1483
318.89,12.1426
319.89,12.137
320.89,12.1312
321.891,12.1241
322.891,12.1182
323.891,12.1122
324.891,12.1059
325.891,12.0998
326.891,12.0939
327.891,12.0888
328.891,12.0819
329.891,12.0768
330.891,12.0702
331.891,12.0648
332.891,12.0591
333.891,12.053
334.891,12.0473
335.891,12.042
336.891,12.0372
337.89,12.0298
338.89,12.0248
339.89,12.019
340.89,12.0127
341.89,12.0076
342.891,12.0016
343.891,11.9956
344.891,11.9901
345.89,11.9847
346.89,11.9783
347.891,11.9734
348.891,11.9661
349.891,11.9616
350.891,11.9553
351.891,11.949
352.891,11.9436
353.891,11.9371
354.891,11.9319
355.891,11.9256
356.891,11.9197
357.891,11.9142
358.891,11.9084
359.891,11.9022
360.891,11.8961
361.891,11.8903
362.891,11.883
363.891,11.8784
364.89,11.8727
365.891,11.8676
366.89,11.8611
367.89,11.8556
368.89,11.8497
369.89,11.8443
370.89,11.8387
371.89,11.8335
372.89,11.828
373.89,11.8225
374.89,11.817
375.891,11.8112
376.89,11.8057
377.891,11.7995
378.891,11.795
379.891,11.7891
380.89,11.7829
381.89,11.7765
382.891,11.7725
383.891,11.7669
384.891,11.7609
385.89,11.755
386.89,11.7487
387.89,11.744
388.89,11.7375
389.89,11.7321
390.89,11.7261
391.891,11.7219
392.891,11.7152
393.891,11.7098
394.89,11.7041
395.89,11.6976
396.891,11.6934
397.891,11.6874
398.891,11.6818
399.891,11.6761
400.891,11.6705
401.891,11.664
402.89,11.6579
403.89,11.6537
404.89,11.6473
405.89,11.6419
406.89,11.6368
407.891,11.63
408.89,11.6247
409.891,11.6193
410.891,11.6142
411.891,11.6086
412.891,11.6037
413.891,11.5975
414.89,11.5917
415.89,11.5854
416.89,11.5807
417.891,11.5752
418.891,11.5699
419.891,11.5648
420.891,11.5598
421.891,11.553
422.89,11.5478
423.89,11.5423
424.89,11.5373
425.89,11.532
426.89,11.5256
427.89,11.5217
428.891,11.516
429.89,11.5117
430.89,11.5051
431.89,11.5003
432.89,11.4941
433.89,11.4882
434.891,11.4827
435.891,11.4782
436.891,11.4719
437.891,11.4668
438.891,11.4608
439.891,11.4554
440.89,11.4506
441.89,11.4454
442.89,11.4402
443.89,11.435
444.89,11.4291
445.89,11.4242
446.89,11.4174
447.89,11.4122
448.891,11.4075
449.891,11.4015
450.891,11.3962
451.891,11.3904
452.891,11.3847
453.89,11.3797
454.891,11.3736
455.891,11.3687
456.891,11.3631
457.891,11.3581
458.89,11.3526
459.89,11.3468
460.891,11.3412
461.891,11.3368
462.89,11.3304
463.89,11.3258
464.89,11.3203
465.89,11.3147
466.89,11.31
467.89,11.3046
468.89,11.2989
469.89,11.2936
470.891,11.2884
471.891,11.2823
472.891,11.2787
473.89,11.2724
474.89,11.2669
475.891,11.262
476.891,11.257
477.891,11.2521
478.891,11.2464
479.89,11.2422
480.89,11.2365
481.891,11.2313
482.891,11.226
483.891,11.2211
484.891,11.2158
485.89,11.2102
486.891,11.2048
487.891,11.1997
488.891,11.1948
489.89,11.1893
490.891,11.1834
491.891,11.1786
492.89,11.1721
493.89,11.1669
494.891,11.1614
495.891,11.1566
496.891,11.1507
497.89,11.1448
498.891,11.1403
499.891,11.134
500.891,11.1295
501.891,11.1234
502.891,11.1183
503.891,11.1126
504.891,11.1076
505.89,11.1005
506.891,11.0964
507.891,11.0914
508.89,11.0862
509.891,11.0805
510.89,11.0757
511.891,11.0701
512.891,11.0646
513.89,11.0594
514.891,11.0547
515.891,11.0496
516.89,11.043
517.89,11.0386
518.891,11.0338
519.891,11.0281
520.89,11.0226
521.89,11.0179
522.891,11.0124
523.891,11.0072
524.891,11.0012
525.89,10.9975
526.89,10.9919
527.891,10.9863
528.89,10.9827
529.891,10.9774
530.891,10.9735
531.89,10.9672
532.891,10.9613
533.891,10.9553
534.89,10.9536
535.891,10.9508
536.891,10.9421
537.891,10.9357
538.89,10.9314
539.891,10.9258
