t (s),V (mV)
0,14.2167
1.05,14.2169
2.099,14.2026
3.15,14.1985
4.157,14.1888
5.157,14.1807
6.158,14.1729
7.157,14.1646
8.157,14.1576
9.158,14.1495
10.157,14.1426
11.158,14.1341
12.158,14.1235
13.157,14.1166
14.158,14.108
15.158,14.102
16.157,14.0915
17.157,14.0828
18.158,14.0761
19.157,14.0669
20.158,14.0574
21.158,14.0473
22.157,14.0403
23.158,14.032
24.157,14.0226
25.157,14.015
26.158,14.0054
27.157,13.9972
28.157,13.9882
29.158,13.9797
30.158,13.9704
31.158,13.9624
32.158,13.9523
33.157,13.945
34.158,13.9351
35.157,13.9269
36.158,13.918
37.158,13.9088
38.157,13.9013
39.158,13.8918
40.157,13.8838
41.157,13.8753
42.158,13.8674
43.157,13.8578
44.158,13.8497
45.158,13.8382
46.157,13.8311
47.158,13.8232
48.157,13.8141
49.157,13.8065
50.158,13.797
51.157,13.788
52.158,13.7796
53.158,13.7707
54.157,13.7627
55.158,13.7541
56.157,13.7455
57.158,13.7371
58.158,13.7282
59.158,13.7198
60.158,13.7113
61.158,13.7028
62.157,13.6955
63.158,13.6868
64.158,13.6772
65.158,13.6683
66.158,13.661
67.157,13.6516
68.158,13.6437
69.158,13.6351
70.157,13.627
71.158,13.6192
72.157,13.6109
73.158,13.6021
74.158,13.5937
75.158,13.5855
76.158,13.5789
77.158,13.5683
78.158,13.5607
79.157,13.5534
80.158,13.5443
81.157,13.5362
82.158,13.5279
83.157,13.5184
84.158,13.5113
85.157,13.503
86.158,13.4939
87.158,13.4857
88.157,13.4778
89.158,13.4696
90.157,13.4608
91.158,13.4526
92.157,13.4449
93.158,13.4362
94.157,13.4263
95.158,13.4195
96.158,13.4144
97.157,13.4066
98.158,13.3973
99.158,13.3879
100.158,13.3788
101.157,13.3712
102.158,13.3635
103.157,13.3549
104.158,13.3464
105.157,13.3394
106.158,13.3305
107.157,13.3227
108.158,13.3144
109.158,13.3064
110.157,13.3004
111.158,13.2907
112.158,13.2817
113.157,13.2743
114.158,13.2664
115.157,13.256
116.158,13.2473
117.157,13.2425
118.158,13.2337
119.157,13.223
120.158,13.2165
121.158,13.2104
122.157,13.2036
123.158,13.1955
124.158,13.1878
125.157,13.1794
126.158,13.1725
127.157,13.1639
128.158,13.1569
129.157,13.1495
130.158,13.1413
131.158,13.1341
132.158,13.1273
133.158,13.1191
134.157,13.1119
135.158,13.1039
136.158,13.0965
137.157,13.0883
138.158,13.0804
139.157,13.0728
140.158,13.0666
141.157,13.0569
142.158,13.0474
143.157,13.0408
144.157,13.0333
145.158,13.0244
146.157,13.0177
