t (s),V (mV)
0,14.7613
0.972,14.7591
1.91,14.7506
2.882,14.7373
3.862,14.7305
4.863,14.7205
5.863,14.7115
6.862,14.7033
7.862,14.6934
8.863,14.6847
9.862,14.6753
10.862,14.6647
11.863,14.6563
12.863,14.6469
13.862,14.635
14.863,14.6263
15.863,14.6169
16.863,14.6057
17.862,14.5966
18.862,14.5856
19.863,14.5748
20.863,14.564
21.862,14.5534
22.863,14.5424
23.863,14.531
24.862,14.52
25.863,14.5106
26.862,14.4993
27.862,14.4884
28.863,14.4769
29.863,14.4666
30.862,14.4563
31.863,14.445
32.863,14.4347
33.862,14.4248
34.863,14.4132
35.862,14.4025
36.863,14.3922
37.863,14.3825
38.862,14.3712
39.862,14.3622
40.863,14.353
41.862,14.3411
42.863,14.3314
43.862,14.3215
44.863,14.3119
45.863,14.3017
46.862,14.2902
47.863,14.2802
48.862,14.2696
49.863,14.2599
50.863,14.2502
51.862,14.2406
52.863,14.2298
53.862,14.2197
54.863,14.2109
55.863,14.1998
56.862,14.1885
57.863,14.1767
58.863,14.1687
59.862,14.1569
60.863,14.1483
61.863,14.1369
62.863,14.1277
63.863,14.1173
64.862,14.1072
65.863,14.0973
66.862,14.0863
67.863,14.0736
68.863,14.0658
69.862,14.0558
70.863,14.0457
71.863,14.0358
72.863,14.0265
73.863,14.0168
74.862,14.0061
75.863,13.997
76.862,13.9872
77.863,13.978
78.862,13.9672
79.863,13.9584
80.863,13.948
81.862,13.9384
82.863,13.9282
83.862,13.9177
84.863,13.9096
85.862,13.8977
86.863,13.8892
87.863,13.8808
88.862,13.8698
89.863,13.8617
90.862,13.8492
91.863,13.8427
92.863,13.8329
93.862,13.8219
94.863,13.812
95.862,13.8017
96.863,13.7921
97.862,13.7821
98.863,13.7718
99.863,13.7616
100.862,13.7516
101.863,13.742
102.862,13.7319
103.863,13.7222
104.862,13.7129
105.863,13.7032
106.862,13.6936
107.863,13.6837
108.862,13.674
109.863,13.664
110.862,13.6537
111.863,13.6424
112.862,13.6347
113.863,13.6237
114.862,13.6143
115.863,13.6044
116.863,13.5943
117.863,13.5866
118.862,13.576
119.863,13.5674
120.863,13.5574
121.863,13.5493
122.862,13.5389
123.863,13.532
124.862,13.5197
125.863,13.5133
126.863,13.5033
127.862,13.4946
128.863,13.4856
129.863,13.4766
130.863,13.4675
131.862,13.4583
132.863,13.4491
133.862,13.4395
134.863,13.4304
135.862,13.4205
136.863,13.4128
137.863,13.4022
138.863,13.3943
139.863,13.3852
140.863,13.3759
141.863,13.3665
142.863,13.3578
143.862,13.3478
144.863,13.3394
145.863,13.3272
146.863,13.319
147.863,13.314
148.862,13.3018
149.863,13.2923
150.862,13.2833
151.862,13.274
152.863,13.2641
153.863,13.2553
154.862,13.2466
155.863,13.2365
156.862,13.229
157.863,13.2183
158.863,13.2091
159.863,13.1997
160.863,13.1903
161.862,13.1809
162.863,13.1728
163.862,13.1628
164.863,13.1531
165.862,13.1449
166.863,13.1348
167.862,13.1255
168.862,13.1176
169.863,13.1091
170.863,13.0995
171.863,13.0923
172.863,13.0825
173.862,13.0747
174.863,13.0654
175.862,13.056
176.863,13.0485
177.862,13.0398
178.863,13.0318
179.863,13.024
180.862,13.014
181.863,13.0056
182.863,12.9963
183.862,12.9871
184.863,12.9782
185.863,12.9706
186.862,12.9614
187.863,12.9528
188.863,12.9444
189.862,12.935
190.863,12.9264
191.862,12.916
192.863,12.9078
193.862,12.8998
194.862,12.8903
195.863,12.8815
196.863,12.8722
197.862,12.864
198.863,12.8551
199.862,12.8465
200.863,12.8375
201.862,12.8287
202.863,12.8197
203.863,12.8112
204.862,12.8031
205.863,12.794
206.863,12.7854
207.862,12.7766
208.863,12.7673
209.863,12.7588
210.862,12.7505
211.863,12.7419
212.863,12.7334
213.862,12.7245
214.863,12.715
215.863,12.7065
216.862,12.6977
217.863,12.6884
218.863,12.6798
219.863,12.6716
220.862,12.6627
221.863,12.6545
222.862,12.6457
223.863,12.6367
224.863,12.6277
225.862,12.6192
226.863,12.6107
227.863,12.6016
228.863,12.5929
229.863,12.5837
230.862,12.5753
231.863,12.5661
232.862,12.5572
233.863,12.5498
234.863,12.5409
235.862,12.5333
236.863,12.5244
237.863,12.5167
238.863,12.5086
239.863,12.5007
240.862,12.492
241.863,12.4843
242.863,12.4754
243.863,12.4677
244.863,12.459
245.862,12.4513
246.863,12.4435
247.863,12.4356
248.862,12.4279
249.863,12.4177
250.862,12.4113
251.863,12.3975
252.863,12.3982
253.863,12.3876
254.862,12.3795
255.862,12.3714
256.862,12.3641
257.863,12.3559
258.863,12.3487
259.862,12.3398
260.863,12.3301
261.862,12.3224
262.862,12.3149
263.863,12.3052
264.863,12.2968
265.862,12.2888
266.863,12.2802
267.863,12.2714
268.862,12.2638
269.863,12.2561
270.863,12.2471
271.862,12.2393
272.863,12.231
273.863,12.2236
274.862,12.2156
275.863,12.2074
276.863,12.2002
277.862,12.1939
278.863,12.1795
279.863,12.1756
280.863,12.1674
281.862,12.1588
282.862,12.1518
283.863,12.1457
284.863,12.1381
285.862,12.1293
286.863,12.1221
287.863,12.1147
288.863,12.1071
289.863,12.0991
290.862,12.0911
291.863,12.0842
292.863,12.077
293.863,12.0693
294.862,12.0608
295.863,12.0538
296.863,12.0465
297.862,12.039
298.863,12.0318
299.863,12.0234
300.863,12.0173
301.862,12.0092
302.863,12.0026
303.863,11.9949
304.863,11.986
305.863,11.9781
306.863,11.9699
307.863,11.964
308.863,11.9545
309.863,11.946
310.863,11.9393
311.863,11.9298
312.862,11.9201
313.862,11.9137
314.863,11.9051
315.863,11.8981
316.863,11.8903
317.863,11.882
318.863,11.8735
319.862,11.8657
320.862,11.8581
321.863,11.8491
322.863,11.8416
323.863,11.8344
324.862,11.826
325.863,11.8209
326.863,11.8106
327.863,11.8032
328.863,11.7958
329.862,11.7886
330.862,11.7813
331.862,11.7732
332.862,11.767
333.862,11.7589
334.863,11.7515
335.862,11.7434
336.863,11.7363
337.863,11.7293
338.863,11.722
339.862,11.7131
340.862,11.7066
341.862,11.6987
342.863,11.6913
343.863,11.6836
344.863,11.6763
345.863,11.6685
346.863,11.6606
347.863,11.653
348.863,11.6458
349.863,11.6384
350.863,11.6308
351.862,11.6224
352.862,11.6153
353.863,11.6065
354.863,11.5998
355.863,11.5919
356.863,11.5837
357.862,11.5766
358.862,11.569
359.862,11.5612
360.862,11.5533
361.862,11.5469
362.863,11.5377
363.863,11.5308
364.863,11.5235
365.863,11.5165
366.863,11.509
367.862,11.5018
368.862,11.494
369.862,11.4872
370.863,11.4792
371.863,11.4716
372.863,11.4639
373.863,11.4556
374.863,11.449
375.863,11.4415
376.863,11.434
377.863,11.4265
378.862,11.4191
379.862,11.4114
380.863,11.404
381.863,11.3963
382.863,11.3894
383.863,11.3819
384.863,11.3744
385.863,11.3666
386.863,11.36
387.863,11.3526
388.863,11.3452
389.862,11.338
390.862,11.3313
391.862,11.3243
392.863,11.3176
393.863,11.3111
394.863,11.3031
395.863,11.2954
396.863,11.2888
397.863,11.2808
398.863,11.2742
399.863,11.2671
400.863,11.2599
401.862,11.2532
402.862,11.246
403.862,11.2383
404.862,11.231
405.863,11.2251
406.863,11.2159
407.863,11.21
408.863,11.2036
409.863,11.1966
410.863,11.1905
411.863,11.1834
412.863,11.1764
413.863,11.167
414.863,11.1621
415.863,11.155
416.863,11.1474
417.863,11.1413
418.863,11.1343
419.863,11.1265
420.863,11.1198
421.863,11.1124
422.862,11.105
423.862,11.0989
424.862,11.092
425.862,11.0852
426.862,11.0782
427.863,11.0715
428.863,11.0638
429.863,11.057
430.863,11.0496
431.863,11.043
432.863,11.0356
433.863,11.0286
434.863,11.0213
435.863,11.0149
436.863,11.0072
437.863,11.0002
438.863,10.9929
439.863,10.9857
440.863,10.979
441.863,10.9723
442.863,10.966
443.863,10.9592
444.863,10.9521
445.863,10.9446
446.863,10.9377
447.863,10.9308
448.863,10.9208
449.863,10.916
450.863,10.9098
451.863,10.902
452.863,10.8958
453.862,10.8883
454.862,10.8804
455.862,10.8744
