t (s),V (mV)
0,14.2897
1.038,14.2722
2.038,14.2606
3.038,14.2487
4.037,14.237
5.037,14.2238
6.037,14.2117
7.037,14.1991
8.037,14.1862
9.037,14.1744
10.037,14.1608
11.037,14.1479
12.037,14.1353
13.037,14.1226
14.037,14.1105
15.038,14.0971
16.038,14.0839
17.038,14.0726
18.039,14.0588
19.038,14.0465
20.038,14.0327
21.037,14.0148
22.037,14.0065
23.037,13.9932
24.037,13.9802
25.037,13.9671
26.038,13.9529
27.038,13.9405
28.038,13.9261
29.038,13.9142
30.037,13.8996
31.037,13.8874
32.037,13.8736
33.038,13.8605
34.038,13.8476
35.038,13.8349
36.038,13.8217
37.038,13.8091
38.037,13.7962
39.037,13.7823
40.037,13.7693
41.037,13.7563
42.038,13.7442
43.038,13.7302
44.038,13.7177
45.038,13.7038
46.037,13.6917
47.038,13.6793
48.038,13.6661
49.038,13.6532
50.038,13.6411
51.038,13.6282
52.038,13.6157
53.037,13.603
54.037,13.59
55.037,13.5778
56.038,13.5659
57.038,13.553
58.038,13.5412
59.037,13.5285
60.037,13.5168
61.038,13.5047
62.038,13.4921
63.038,13.4788
64.038,13.4668
65.037,13.4543
66.038,13.4416
67.038,13.4298
68.038,13.4172
69.037,13.4039
70.038,13.389
71.038,13.3795
72.037,13.3663
73.037,13.3547
74.038,13.3426
75.038,13.3298
76.037,13.3167
77.038,13.3049
78.038,13.2931
79.037,13.28
80.037,13.2675
81.037,13.2552
82.038,13.2428
83.038,13.23
84.038,13.2189
85.037,13.2064
86.038,13.1943
87.038,13.182
88.037,13.1698
89.037,13.1579
90.038,13.1459
91.038,13.1342
92.037,13.1221
93.037,13.1099
94.038,13.0986
95.038,13.0865
96.037,13.074
97.038,13.0631
98.038,13.0511
99.037,13.0388
100.037,13.0268
101.038,13.0151
102.037,13.0038
103.038,12.9918
104.038,12.9804
105.037,12.9684
106.037,12.9567
107.038,12.9451
108.038,12.9337
109.038,12.9217
110.037,12.9099
111.038,12.899
112.037,12.8864
113.038,12.8759
114.037,12.8632
115.037,12.8524
116.038,12.8404
117.038,12.8289
118.037,12.8169
119.038,12.8059
120.038,12.7949
121.038,12.7832
122.038,12.7723
123.037,12.7605
124.038,12.7489
125.038,12.7372
126.038,12.7261
127.038,12.7141
128.037,12.7025
129.038,12.6912
130.038,12.6802
131.038,12.6688
132.038,12.6577
133.037,12.6459
134.037,12.6354
135.038,12.6232
136.038,12.612
137.037,12.6003
138.038,12.5897
139.038,12.5774
140.038,12.5674
141.037,12.5556
142.038,12.5446
143.038,12.5331
144.037,12.5213
145.038,12.5105
146.037,12.4983
147.038,12.4872
148.037,12.4763
149.038,12.4652
150.037,12.4539
151.037,12.4425
152.038,12.4316
153.038,12.4212
154.038,12.4094
155.038,12.3984
156.037,12.3875
157.038,12.3763
158.038,12.3653
159.038,12.3538
160.037,12.3433
161.038,12.3326
162.038,12.3205
163.037,12.3095
164.038,12.2995
165.037,12.2881
166.038,12.277
167.037,12.267
168.038,12.2567
169.037,12.2449
170.038,12.2347
171.037,12.2236
172.038,12.2128
173.037,12.202
174.038,12.1914
175.037,12.1806
176.038,12.1699
177.037,12.1592
178.038,12.1483
179.037,12.138
180.038,12.1272
181.037,12.1156
182.038,12.1046
183.038,12.0951
184.038,12.0844
185.038,12.0734
186.037,12.0623
187.038,12.0515
188.037,12.0417
189.038,12.031
190.037,12.0208
191.038,12.0098
192.038,12
193.038,11.9899
194.037,11.9786
195.038,11.9678
196.037,11.9585
197.038,11.948
198.037,11.9371
199.038,11.9272
200.038,11.9163
201.037,11.9066
202.038,11.8953
203.037,11.8844
204.038,11.873
205.038,11.8646
206.037,11.8544
207.038,11.8432
208.038,11.8348
209.038,11.8231
210.038,11.8131
211.038,11.8054
212.038,11.7919
213.037,11.7808
214.038,11.7711
215.037,11.7619
216.038,11.751
217.038,11.7412
218.038,11.7312
219.037,11.7206
220.038,11.7103
221.037,11.6999
222.038,11.6894
223.037,11.6792
224.038,11.6699
