t (s),V (mV)
225.038,11.6602
226.037,11.6488
227.038,11.6384
228.038,11.6309
229.038,11.6204
230.037,11.6106
231.038,11.6
232.037,11.5901
233.038,11.5803
234.038,11.5701
235.038,11.5604
236.038,11.5505
237.037,11.5408
238.038,11.5306
239.037,11.5205
240.038,11.5109
241.037,11.5012
242.038,11.4911
243.037,11.4813
244.038,11.4721
245.038,11.4613
246.038,11.4512
247.037,11.4418
248.038,11.432
249.037,11.4219
250.038,11.4123
251.037,11.4021
252.038,11.3922
253.038,11.3826
254.038,11.3731
255.037,11.3635
256.038,11.353
257.037,11.3436
258.038,11.3336
259.037,11.3239
260.038,11.3148
261.037,11.3048
262.038,11.2954
263.037,11.2856
264.038,11.2753
265.038,11.2666
266.038,11.2571
267.037,11.2472
268.038,11.2373
269.037,11.2284
270.038,11.2185
271.038,11.2109
272.037,11.2016
273.038,11.1898
274.037,11.1821
275.038,11.1718
276.037,11.161
277.038,11.1518
278.038,11.1421
279.038,11.1321
280.038,11.1236
281.038,11.1142
282.038,11.1031
283.037,11.0946
284.038,11.0844
285.038,11.0747
286.037,11.0662
287.038,11.0563
288.038,11.0473
289.038,11.0382
290.038,11.0277
291.038,11.0163
292.037,11.0101
293.038,10.9988
294.037,10.9901
295.038,10.9813
296.037,10.9728
297.038,10.963
298.038,10.9542
299.037,10.9447
300.037,10.9364
301.038,10.9264
302.038,10.918
303.037,10.9093
304.038,10.8996
305.037,10.8905
306.038,10.8826
307.038,10.8731
308.037,10.8649
309.038,10.8561
310.038,10.8467
311.038,10.8368
312.037,10.8287
313.038,10.8212
314.038,10.8109
315.037,10.8023
316.038,10.7933
317.038,10.7845
318.038,10.7747
319.037,10.7651
320.038,10.7578
321.038,10.7486
322.038,10.7404
323.038,10.7309
324.037,10.7215
325.037,10.7136
326.037,10.7048
327.038,10.696
328.038,10.6869
329.037,10.6782
330.037,10.6703
331.038,10.6604
332.038,10.6511
333.038,10.6422
334.038,10.634
335.038,10.6249
336.037,10.6167
337.038,10.6073
338.037,10.5984
339.037,10.5903
340.036,10.5812
341.037,10.5726
342.037,10.5639
343.036,10.5555
344.037,10.5481
345.037,10.5388
346.037,10.5304
347.036,10.5217
348.036,10.5128
349.037,10.5044
350.037,10.496
351.036,10.4863
352.037,10.4772
353.037,10.4686
354.036,10.4596
355.037,10.4499
356.037,10.4407
357.036,10.4322
358.037,10.4221
359.037,10.4142
360.037,10.4055
361.036,10.3973
362.037,10.3882
363.036,10.3798
364.037,10.3716
365.037,10.3624
366.036,10.3545
367.036,10.3458
368.037,10.3366
369.037,10.3276
370.037,10.3195
371.037,10.3107
372.036,10.3013
373.037,10.2923
374.036,10.284
375.036,10.2761
376.037,10.2661
377.037,10.258
378.036,10.249
379.036,10.2406
380.037,10.2325
381.037,10.2247
382.037,10.2157
383.037,10.2078
384.037,10.1997
385.037,10.1913
386.037,10.1835
387.036,10.175
388.036,10.1667
389.037,10.1583
390.036,10.1497
391.037,10.1425
392.037,10.1336
393.037,10.1255
394.037,10.1173
395.037,10.1074
396.037,10.1017
397.037,10.0926
398.037,10.0851
399.037,10.0767
400.037,10.0683
401.036,10.0607
402.037,10.053
403.037,10.0456
404.037,10.037
405.037,10.0288
406.037,10.0214
407.036,10.0127
408.036,10.0038
409.037,9.9965
410.037,9.9884
411.037,9.9805
412.038,9.9724
413.038,9.964
414.037,9.9566
415.038,9.9475
416.038,9.9389
417.037,9.9308
418.037,9.9235
419.038,9.9133
420.038,9.906
421.038,9.8984
422.038,9.889
423.038,9.881
424.038,9.873
425.037,9.8646
426.037,9.8566
427.037,9.8489
428.037,9.8392
429.038,9.8336
430.038,9.8236
431.037,9.8176
432.037,9.8086
433.037,9.8005
434.037,9.794
435.037,9.7844
436.037,9.7769
437.038,9.7673
438.038,9.7599
439.038,9.7516
440.038,9.7439
441.038,9.7351
442.038,9.7278
443.037,9.7195
444.038,9.7112
445.038,9.7034
446.038,9.6957
447.038,9.6886
448.038,9.6813
449.038,9.6732
450.038,9.665
451.038,9.6578
452.038,9.6505
453.038,9.642
454.038,9.6357
455.038,9.6281
456.038,9.6203
457.038,9.6127
458.038,9.6048
459.038,9.5976
460.038,9.5904
461.038,9.5824
462.038,9.5752
463.038,9.5669
464.038,9.5602
465.038,9.5523
466.038,9.5452
467.038,9.5378
